Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/28  20:40:00,18.998375,0,0,0,22.47119074,270.7563368,420.6136673,12.80002492,100060.3826,1.55E-02,420.6133046
 07/28  20:45:00,18.873375,0,0,0,22.42470811,272.1559368,420.5408751,12.80002442,100059.9855,1.55E-02,420.5405717
 07/28  20:50:00,18.748375,0,0,0,22.37859088,273.5710505,420.4767029,12.80002433,100059.5885,1.55E-02,420.47645
 07/28  20:55:00,18.623375,0,0,0,22.33283284,275.0039572,420.4201315,12.80002461,100059.1914,1.55E-02,420.4199216
 07/28  21:00:00,18.498375,0,0,0,22.28741445,276.4475254,420.370262,12.80002519,100058.7944,1.55E-02,420.3700885
 07/28  21:05:00,18.49004167,0,0,0,22.2484647,277.3860466,420.3263094,12.80002821,100058.4966,1.55E-02,420.3261591
 07/28  21:10:00,18.48170833,0,0,0,22.21625202,277.1872301,420.2875762,12.80002999,100058.1988,1.55E-02,420.2874418
 07/28  21:15:00,18.473375,0,0,0,22.1877839,276.3447198,420.2534436,12.80003193,100057.9011,1.55E-02,420.2533222
 07/28  21:20:00,18.46504167,0,0,0,22.16060435,275.3614855,420.2233645,12.80003345,100057.6033,1.55E-02,420.2232552
 07/28  21:25:00,18.45670833,0,0,0,22.1338378,274.4547911,420.1968571,12.80003457,100057.3055,1.55E-02,420.196759
 07/28  21:30:00,18.448375,0,0,0,22.10753323,273.6334694,420.1734967,12.80003553,100057.0077,1.55E-02,420.1734089
 07/28  21:35:00,18.44004167,0,0,0,22.08190108,272.8515866,420.1529095,12.80003645,100056.7099,1.55E-02,420.152831
 07/28  21:40:00,18.43170833,0,0,0,22.05701271,272.0830186,420.1347662,12.80003738,100056.4121,1.55E-02,420.134696
 07/28  21:45:00,18.423375,0,0,0,22.03282341,271.3263643,420.1187764,12.80003831,100056.1144,1.55E-02,420.1187138
 07/28  21:50:00,18.41504167,0,0,0,22.00926432,270.5882057,420.1046845,12.8000392,100055.8166,1.55E-02,420.1046286
 07/28  21:55:00,18.40670833,0,0,0,21.98628776,269.8724593,420.0922651,12.80004007,100055.5188,1.55E-02,420.0922153
 07/28  22:00:00,18.398375,0,0,0,21.96386687,269.1790687,420.0813196,12.80004091,100055.221,1.55E-02,420.0812752
 07/28  22:05:00,18.31504167,0,0,0,21.9379533,268.8030794,420.0716719,12.80004112,100054.9232,1.55E-02,420.0716334
 07/28  22:10:00,18.23170833,0,0,0,21.90835244,269.205799,420.0631676,12.80004181,100054.6255,1.55E-02,420.0631349
 07/28  22:15:00,18.148375,0,0,0,21.87697769,270.0465362,420.0556711,12.80004271,100054.3277,1.55E-02,420.0556435
 07/28  22:20:00,18.06504167,0,0,0,21.84538888,271.0005735,420.0490631,12.80004397,100054.0299,1.55E-02,420.0490399
 07/28  22:25:00,17.98170833,0,0,0,21.81412329,271.9273617,420.0432386,12.80004546,100053.7321,1.55E-02,420.0432191
 07/28  22:30:00,17.898375,0,0,0,21.78311959,272.8191927,420.0381047,12.80004699,100053.4343,1.55E-02,420.0380883
 07/28  22:35:00,17.81504167,0,0,0,21.75221208,273.7045723,420.0335797,12.80004847,100053.1365,1.55E-02,420.0335659
 07/28  22:40:00,17.73170833,0,0,0,21.72132663,274.5997033,420.0295914,12.80004988,100052.8388,1.55E-02,420.0295799
 07/28  22:45:00,17.648375,0,0,0,21.69046665,275.5048687,420.0260762,12.80005126,100052.541,1.55E-02,420.0260667
 07/28  22:50:00,17.56504167,0,0,0,21.65965333,276.4150919,420.0229781,12.80005261,100052.2432,1.55E-02,420.0229702
 07/28  22:55:00,17.48170833,0,0,0,21.62889576,277.3270777,420.0202477,12.80005395,100051.9454,1.55E-02,420.0202412
 07/28  23:00:00,17.398375,0,0,0,21.59819073,278.2401341,420.0178414,12.80005526,100051.6476,1.55E-02,420.017836
 07/28  23:05:00,17.29004167,0,0,0,21.56605325,279.195565,420.0157206,12.8000565,100051.2506,1.55E-02,420.0157162
 07/28  23:10:00,17.18170833,0,0,0,21.53236939,280.4122209,420.0138515,12.80005781,100050.8536,1.55E-02,420.0138481
 07/28  23:15:00,17.073375,0,0,0,21.49783307,281.7888718,420.0122042,12.80005922,100050.4565,1.55E-02,420.0122016
 07/28  23:20:00,16.96504167,0,0,0,21.46304411,283.2099472,420.0107525,12.80006078,100050.0595,1.55E-02,420.0107505
 07/28  23:25:00,16.85670833,0,0,0,21.42822,284.6153824,420.0094732,12.80006241,100049.6624,1.55E-02,420.0094718
 07/28  23:30:00,16.748375,0,0,0,21.39333497,285.9971301,420.0083459,12.80006403,100049.2654,1.55E-02,420.0083448
 07/28  23:35:00,16.64004167,0,0,0,21.35833661,287.3762175,420.0073525,12.80006559,100048.8683,1.55E-02,420.0073518
 07/28  23:40:00,16.53170833,0,0,0,21.32320476,288.7537191,420.0064771,12.8000671,100048.4713,1.55E-02,420.0064767
 07/28  23:45:00,16.423375,0,0,0,21.28794402,290.1295731,420.0057058,12.80006858,100048.0743,1.55E-02,420.0057056
 07/28  23:50:00,16.31504167,0,0,0,21.2525643,291.5024465,420.0050262,12.80007002,100047.6772,1.55E-02,420.0050262
 07/28  23:55:00,16.20670833,0,0,0,21.21707174,292.8715456,420.0044274,12.80007143,100047.2802,1.55E-02,420.0044275
 07/28  24:00:00,16.098375,0,0,0,21.18146877,294.2368509,420.0038998,12.80007282,100046.8831,1.55E-02,420.0039
 07/29  00:05:00,16.08170833,0,0,0,21.1509811,295.3412025,420.003435,12.80007157,100046.2876,1.55E-02,420.0034353
 07/29  00:10:00,16.06504167,0,0,0,21.12581669,295.4468019,420.0030257,12.80007154,100045.692,1.55E-02,420.0030259
 07/29  00:15:00,16.048375,0,0,0,21.10345042,295.0000977,420.0026651,12.80007029,100045.0964,1.55E-02,420.0026653
 07/29  00:20:00,16.03170833,0,0,0,21.0818452,294.4322979,420.0023476,12.80006843,100044.5009,1.55E-02,420.0023477
 07/29  00:25:00,16.01504167,0,0,0,21.06030807,293.9258622,420.0020679,12.80006657,100043.9053,1.55E-02,420.0020679
 07/29  00:30:00,15.998375,0,0,0,21.03891659,293.4859196,420.0018215,12.80006506,100043.3097,1.55E-02,420.0018215
 07/29  00:35:00,15.98170833,0,0,0,21.01787057,293.072203,420.0016044,12.800064,100042.7142,1.55E-02,420.0016045
 07/29  00:40:00,15.96504167,0,0,0,20.99724385,292.6626402,420.0014133,12.80006329,100042.1186,1.55E-02,420.0014133
 07/29  00:45:00,15.948375,0,0,0,20.97700954,292.2565975,420.0012449,12.80006285,100041.5231,1.55E-02,420.0012449
 07/29  00:50:00,15.93170833,0,0,0,20.95712015,291.8600811,420.0010966,12.80006262,100040.9275,1.55E-02,420.0010966
 07/29  00:55:00,15.91504167,0,0,0,20.93754581,291.4766339,420.0009659,12.80006255,100040.3319,1.55E-02,420.000966
 07/29  01:00:00,15.898375,0,0,0,20.91827342,291.1063635,420.0008509,12.80006262,100039.7364,1.55E-02,420.0008509
 07/29  01:05:00,15.95670833,0,0,0,20.90331523,290.424605,420.0007495,12.80007059,100039.0415,1.55E-02,420.0007495
 07/29  01:10:00,16.01504167,0,0,0,20.89288543,289.0177567,420.0006602,12.80007441,100038.3467,1.55E-02,420.0006602
 07/29  01:15:00,16.073375,0,0,0,20.88505114,287.1962407,420.0005816,12.80007958,100037.6519,1.55E-02,420.0005816
 07/29  01:20:00,16.13170833,0,0,0,20.87820412,285.2855912,420.0005124,12.80008425,100036.9571,1.55E-02,420.0005123
 07/29  01:25:00,16.19004167,0,0,0,20.87175782,283.4285809,420.0004514,12.80008799,100036.2622,1.55E-02,420.0004513
 07/29  01:30:00,16.248375,0,0,0,20.86573417,281.6332237,420.0003977,12.80009102,100035.5674,1.55E-02,420.0003976
 07/29  01:35:00,16.30670833,0,0,0,20.86026795,279.8703785,420.0003503,12.8000936,100034.8726,1.55E-02,420.0003503
 07/29  01:40:00,16.36504167,0,0,0,20.85540672,278.1228864,420.0003087,12.80009588,100034.1778,1.55E-02,420.0003086
 07/29  01:45:00,16.423375,0,0,0,20.85112202,276.3894455,420.0002719,12.80009788,100033.483,1.55E-02,420.0002719
 07/29  01:50:00,16.48170833,0,0,0,20.84736824,274.6740808,420.0002396,12.80009964,100032.7881,1.55E-02,420.0002396
 07/29  01:55:00,16.54004167,0,0,0,20.84411259,272.9792422,420.0002111,12.80010119,100032.0933,1.55E-02,420.0002111
